portfolio,fund_name,scheme_code,folio,platform,txn_type,txn_date,units,nav,notes
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,06-03-20,20.595,72.8333,
,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth Option,,,,BUY,09-03-20,155.087,32.24,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,09-03-20,559.398,9.832,
,Franklin Build India Fund - Direct - Growth,,,,BUY,09-03-20,130.639,38.2733,
,SBI Conservative Hybrid Fund - Direct Plan - Growth,,,,BUY,09-03-20,204.641,43.902,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,09-03-20,805.888,9.3065,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,09-03-20,205.108,39.0039,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,09-03-20,323.57,15.4526,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,09-03-20,94.099,90.33,
,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,09-03-20,55.355,90.3256,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,09-03-20,108.262,69.2763,
,SBI Conservative Hybrid Fund - Direct Plan - Growth,,,,BUY,12-03-20,24.989,42.7555,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,12-03-20,116.992,8.5476,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,12-03-20,140.048,35.702,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,12-03-20,60.7671,82.2813,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,12-03-20,78.653,63.5707,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,16-03-20,169.033,8.874,
,Franklin Build India Fund - Direct - Growth,,,,BUY,16-03-20,58.958,33.9226,
,SBI Conservative Hybrid Fund - Direct Plan - Growth,,,,BUY,16-03-20,50.899,42.3101,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,16-03-20,57.948,34.5136,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,16-03-20,32.846,60.8903,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,20-03-20,63.344,7.8934,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,20-03-20,15.375,32.5202,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,20-03-20,7.238,69.0827,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,20-03-20,8.641,57.8611,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,23-03-20,69.348,7.21,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,26-03-20,64.049,7.8065,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,30-03-20,63.331,7.895,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,03-04-20,12.736,39.2576,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,03-04-20,3.131,31.94,
,ICICI Prudential Liquid Fund - Direct Plan - Growth,,,,BUY,03-04-20,0.34,294.0913,
,NIPPON INDIA NIFTY NEXT 50 JUNIOR BEES FOF - DIRECT Plan - IDCW Option,,,,BUY,03-04-20,661,7.5643,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,07-04-20,60.584,8.253,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,09-04-20,2.77,36.1,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,13-04-20,58.473,8.551,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,16-04-20,5.56,35.97,
,ICICI Prudential Liquid Fund - Direct Plan - Growth,,,,BUY,16-04-20,0.34,294.4435,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,16-04-20,15.178,65.8838,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,17-04-20,170.068,29.4,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,17-04-20,130.856,38.21,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,17-04-20,174.095,28.72,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,20-04-20,56.812,8.801,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,20-04-20,58.716,8.5155,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,20-04-20,14.464,34.5689,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,20-04-20,7.183,69.6053,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,20-04-20,8.157,61.2998,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,21-04-20,13.398,37.32,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,21-04-20,17.883,27.96,
,NIPPON INDIA NIFTY NEXT 50 JUNIOR BEES FOF - DIRECT Plan - IDCW Option,,,,BUY,21-04-20,117.887,8.4827,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,21-04-20,15.142,66.0426,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,23-04-20,2.723,36.73,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,27-04-20,56.421,8.862,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,27-04-20,58.034,8.6157,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,28-04-20,11.241,44.4792,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,28-04-20,16.773,29.81,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,28-04-20,12.997,38.47,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,28-04-20,17.507,28.56,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,28-04-20,13.602,36.76,
,ICICI Prudential Liquid Fund - Direct Plan - Growth,,,,BUY,28-04-20,1.695,295.0104,
,NIPPON INDIA NIFTY NEXT 50 JUNIOR BEES FOF - DIRECT Plan - IDCW Option,,,,BUY,28-04-20,116.647,8.5729,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,28-04-20,368.229,13.5785,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,28-04-20,72.545,68.9227,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,30-04-20,2.593,38.56,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,04-05-20,55.8347,8.955,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,04-05-20,11.369,43.9775,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,04-05-20,17.047,29.33,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,04-05-20,13.079,38.23,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,04-05-20,17.825,28.05,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,04-05-20,13.68,36.55,
,ICICI Prudential Liquid Fund - Direct Plan - Growth,,,,BUY,04-05-20,1.694,295.1964,
,NIPPON INDIA NIFTY NEXT 50 JUNIOR BEES FOF - DIRECT Plan - IDCW Option,,,,BUY,04-05-20,118.262,8.4558,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,04-05-20,71.498,13.9864,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,04-05-20,15.015,66.601,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,05-05-20,11.509,43.4431,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,05-05-20,141.498,35.3363,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,07-05-20,2.76,36.23,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,11-05-20,56.46,8.856,
,Franklin Build India Fund - Direct - Growth,,,,BUY,11-05-20,160.137,31.2233,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,11-05-20,15.436,64.7833,
,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,11-05-20,12.939,77.2854,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,12-05-20,11.535,43.3466,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,12-05-20,17.229,29.02,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,12-05-20,18.282,27.35,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,12-05-20,28.745,34.7892,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,12-05-20,114.892,8.7038,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,12-05-20,29.303,34.1266,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,12-05-20,15.428,64.8175,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,12-05-20,16.427,60.8691,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,14-05-20,17.373,28.78,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,14-05-20,18.109,27.61,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,14-05-20,15.392,64.9701,
,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,14-05-20,6.485,77.1051,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,15-05-20,34.71,28.81,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,15-05-20,36.232,27.6,
,Franklin Build India Fund - Direct - Growth,,,,BUY,15-05-20,31.541,31.7047,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,15-05-20,27.51,36.35,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,15-05-20,28.619,34.9415,
,NIPPON INDIA NIFTY NEXT 50 JUNIOR BEES FOF - DIRECT Plan - IDCW Option,,,,BUY,15-05-20,117.003,8.5468,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,15-05-20,31.068,64.3753,
,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,15-05-20,12.979,77.0497,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,18-05-20,59.13,8.456,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,19-05-20,23.62,42.3384,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,19-05-20,8.806,28.39,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,19-05-20,6.688,37.38,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,19-05-20,22.388,26.8,
,Franklin Build India Fund - Direct - Growth,,,,BUY,19-05-20,32.52,30.7499,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,19-05-20,2.822,35.43,
,ICICI Prudential Liquid Fund - Direct Plan - Growth,,,,BUY,19-05-20,0.338,295.9575,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,19-05-20,30.626,32.6519,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,19-05-20,120.438,8.303,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,19-05-20,33.215,60.2145,
,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,19-05-20,13.341,74.9579,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,19-05-20,25.349,59.38575,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,20-05-20,57.605,8.6798,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,20-05-20,14.956,33.431,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,20-05-20,8.109,61.6599,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,22-05-20,17.367,28.79,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,22-05-20,18.36210062,27.23,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,22-05-20,31.08176992,32.1732,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,22-05-20,16.826,59.4325,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,26-05-20,58.025,8.617,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,26-05-20,11.733,42.6159,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,26-05-20,57.25,8.7336,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,01-06-20,54.717,9.138,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,02-06-20,10.807,46.2677,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,08-06-20,53.225,9.394,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,09-06-20,10.818,46.218,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,15-06-20,53.949,9.268,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,16-06-20,10.906,45.8454,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,22-06-20,51.824,9.648,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,22-06-20,51.987,9.6177,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,22-06-20,13.202,37.8744,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,22-06-20,6.736,74.2226,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,22-06-20,7.318,68.3262,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,23-06-20,10.479,47.7131,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,26-06-20,51.429,9.7222,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,29-06-20,51.329,9.741,
,Franklin Build India Fund - Direct - Growth,,,,BUY,29-06-20,27.557,36.2885,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,29-06-20,24.669,40.5367,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,29-06-20,13.643,73.2992,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,30-06-20,10.629,47.0399,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,06-07-20,50.108,9.978,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,09-07-20,23.07,43.344,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,09-07-20,103.949,9.6196,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,09-07-20,12.679,78.8667,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,13-07-20,50.493,9.902,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,14-07-20,15.673,31.9,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,14-07-20,12.013,41.62,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,14-07-20,16.134,30.99,
,Franklin Build India Fund - Direct - Growth,,,,BUY,14-07-20,27.58,36.2563,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,14-07-20,12.059,41.46,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,14-07-20,24.461,40.8786,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,14-07-20,104.598,9.5599,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,14-07-20,61.862,16.1642,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,14-07-20,13.457,74.3044,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,20-07-20,50.33,9.934,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,20-07-20,48.726,10.2611,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,20-07-20,12.474,40.0806,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,20-07-20,6.47,77.2825,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,20-07-20,6.836,73.1377,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,27-07-20,50.138,9.972,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,27-07-20,7.585,32.96,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,27-07-20,5.935,42.12,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,27-07-20,12.682,31.54,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,27-07-20,16.211,43.18,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,27-07-20,23.795,42.0233,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,27-07-20,104.491,9.5697,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,27-07-20,48.283,10.3551,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,27-07-20,55.26,18.0953,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,27-07-20,13.17,75.9285,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,03-08-20,51.013,9.801,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,10-08-20,48.717,10.263,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,17-08-20,48.85,10.235,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,20-08-20,46.467,10.7598,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,20-08-20,11.949,41.8421,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,24-08-20,47.342,10.561,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,26-08-20,46.01,10.8667,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,31-08-20,48.158,10.382,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,07-09-20,47.795,10.461,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,10-09-20,14.718,33.97,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,10-09-20,22.167,45.11,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,10-09-20,28.875,34.63,
,Franklin Build India Fund - Direct - Growth,,,,BUY,10-09-20,26.841,37.2546,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,10-09-20,22.456,44.53,
,ICICI Prudential Liquid Fund - Direct Plan - Growth,,,,BUY,10-09-20,2.338,299.3624,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,10-09-20,23.062,43.3585,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,10-09-20,100.768,9.9233,
,SBI Conservative Hybrid Fund - Direct Plan - Growth,,,,BUY,10-09-20,22.196,45.7926,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,10-09-20,93.196,10.7295,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,10-09-20,24.064,41.5537,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,10-09-20,52.682,18.9807,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,10-09-20,12.843,77.8606,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,14-09-20,46.951,10.649,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,16-09-20,10.606,47.14,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,16-09-20,40.353,37.17,
,Franklin Build India Fund - Direct - Growth,,,,BUY,16-09-20,26.459,37.7924,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,16-09-20,590.886,16.9229,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,16-09-20,12.798,78.135,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,21-09-20,48.103,10.394,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,21-09-20,46.565,10.7373,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,21-09-20,12.218,40.9201,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,22-09-20,3,33.33,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,22-09-20,2.205,45.35,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,22-09-20,2.825,35.4,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,22-09-20,62.724,15.9421,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,22-09-20,13.651,73.2496,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,23-09-20,3.01,33.22,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,23-09-20,2.206,45.33,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,23-09-20,2.828,35.36,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,23-09-20,62.367,16.0332,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,23-09-20,13.632,73.3521,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,24-09-20,3.093,32.33,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,24-09-20,2.246,44.53,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,24-09-20,2.89,34.6,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,24-09-20,2.385,41.92,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,24-09-20,25.019,39.9681,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,24-09-20,104.864,9.5357,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,24-09-20,63.908,15.6466,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,24-09-20,50.107,19.9562,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,24-09-20,14.031,71.2653,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,28-09-20,48.006,10.415,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,28-09-20,46.479,10.7571,
